"FileName","VoiceoverText"
"1S01-INTRO.mp3","Your customers are not waiting at the service drive anymore. They are at their desk, on a job site, in another time zone — and they are still expecting a premium service experience. In this module you will learn how to deliver that experience through every digital channel you use. Video. Text. Email. Each one is a chance to build trust — or quietly lose it."
"1S02-INTRO.mp3","By the end of this module, you will be able to do five things. First, create effective video updates that inform customers and lift approval of recommended work. Second, use text messaging professionally and appropriately with Porsha customers. Third, write clear, professional emails when you need a written record. Fourth, choose the right channel based on the message and the customer. And fifth, avoid the common digital mistakes that quietly erode your professionalism."
"1S03-INTRO.mp3","Twenty-seven percent. That is the lift in approved recommended work when a customer sees a video of their car instead of just a phone call. C S I scores climb by roughly fifty-four points on the same data. The reason is simple — your customer can see what you see. They are not deciding based on a service advisor's translation. They are deciding based on you. The expert. Talking to them about their car."
"1S04-INTRO.mp3","Your customers are connected twenty-four seven. They check their phone first thing in the morning, between meetings, and in the parking lot before they walk in. That means video, text, and email are not extras for you anymore — they are the everyday way Porsha owners expect to hear about their car. The upside is huge. Digital is personal. It is convenient. And it creates a record they can revisit. The risk is just as real. Anything you send can be screenshotted, forwarded, or saved. Treat every message like it might be read by your manager."
"1S05-INTRO.mp3","You have three digital channels available — video, text, and email. Each one has a job the other two cannot do as well. Select each tile to see what each channel is for."
"1S05-CLICK-Email.mp3","Email is your written record. It is the right channel when the customer needs documentation — an estimate, a technical summary, attachments they can reference later. It is also the slowest, so it is the wrong channel for anything urgent."
"1S05-CLICK-Text.mp3","Seventy-seven percent of Porsha customers prefer text updates. Text is fast, convenient, and respectful of their time — but it carries no tone of voice. Use it for short, confirmable updates. Never for bad news or complex explanations."
"1S05-CLICK-Video.mp3","Video is the most engaging tool you have. The customer sees your face, sees their car, and hears your voice — it is the closest thing to standing next to them in the bay. Use it for inspections, recommendations, and showing completed work."
"1S06-INTRO.mp3","A video update is more than just hitting record. The Porsha brand shows up in every detail your customer can see and hear. Select each marker to see what makes a video look — and sound — like you."
"1S06-CLICK-Hotspot1.mp3","Your customer is meeting you for the first time on this video. Clean uniform. Visible name tag. The same standards you would meet in person — because for many customers, this is the in-person."
"1S06-CLICK-Hotspot2.mp3","Find a spot where the light is on your face, not behind you. Standing in front of a bay door at noon turns you into a silhouette. Use shop lighting deliberately. The customer needs to see your expression — that is most of what makes the video feel personal."
"1S06-CLICK-Hotspot3.mp3","If you walk around the car, use a gimbal. Standing still, hold the phone with both hands. Shaky footage is distracting and the message gets lost. Smooth video signals you take this seriously."
"1S06-CLICK-Hotspot4.mp3","Look at what is behind you before you hit record. Clutter, oily rags, another customer's vehicle — all of it is on camera. A clean, organized work area says quietly, ""This is how I treat your car."""
"1S06-CLICK-Hotspot5.mp3","Shop noise is real, so speak up and slow down. Enunciate technical terms. Pause between points so the customer's brain can keep up. You know this car cold. They are seeing it for the first time."
"1S07-INTRO.mp3","Strong video updates follow a recipe. Practice it once before you record — you will sound prepared, not rehearsed. Open with the customer's name and your name. Identify the vehicle and the service. Then point the camera at what you are explaining — let them see the worn part, the leak, the measurement. And always close with a clear next step. ""I will call you this afternoon at three"" is a next step. ""Call us back"" is not. Give them something to do."
"2KC01-INTRO.mp3","Let's check your understanding. Select the best answer."
"2KC02-INTRO.mp3","Let's check your understanding. Select the best answer."
"1S08-INTRO.mp3","Seventy-seven percent of Porsha customers prefer text updates — but texting professionally is harder than it looks. Four rules cover most of it. Explore each one."
"1S08-TAB-Permission.mp3","Never text a customer who has not invited you to. Channel preference belongs to them. The first time, ask: ""Is text okay for updates?"" Document the answer in the system so the next person knows too."
"1S08-TAB-Scope.mp3","Text is for short, factual updates. ""Your Kai-yen is ready for pickup."" ""I will call you at two."" If the message needs explanation, or it is bad news, pick up the phone or record a video instead."
"1S08-TAB-Timing.mp3","Only text during business hours unless the customer has specifically said otherwise. A nine PM text reads differently than a one PM text — even if the content is identical."
"1S08-TAB-Tone.mp3","Write in complete sentences. Skip emojis. No ALL CAPS — it reads as shouting. Tone is the hardest thing to carry in text, so leave nothing ambiguous."
"1S09-INTRO.mp3","Email is your written record. Customers save it, forward it, print it. Five details make the difference. A clear subject line that names the vehicle and the service. A real greeting with their name — not ""Hi there."" Short paragraphs or bullets, never a wall of text. Proofread once before you send, because autocorrect mistakes live forever in an inbox. And close with the actual next step and your contact information. One last trick — read the email aloud before you send. Tone you can hear is tone you can fix."
"1S10-INTRO.mp3","The right channel is half the message. Bad news on text is a complaint waiting to happen. A long technical estimate by text just gets lost. Drag each scenario to the channel that fits it best."
"1S11-INTRO.mp3","Most digital mistakes are not big dramatic ones. They are small habits that slowly cost you credibility. Four show up most often. Click each card to explore."
"1S11-CLICK-AllCaps.mp3","ALL CAPS reads as shouting — even if you only used it for emphasis. Excessive exclamation points and question marks land the same way. Use punctuation and capitalization the same way you would in a professional letter."
"1S11-CLICK-Casual.mp3","Emojis, slang, and abbreviations can read as friendly with one customer and unprofessional to another. The Porsha brand standard is the higher bar. When in doubt, leave them out."
"1S11-CLICK-Permanence.mp3","Anything you send digitally can be screenshotted, forwarded, or saved. There is no truly private message. Before you hit send, ask — would I be okay with my manager or the customer's spouse reading this exact text?"
"1S11-CLICK-Stalking.mp3","Digital stalking is when you email, call, and text the same customer about the same thing inside an hour. It is well-intentioned and it feels like overkill to them. Pick one channel and give the customer time to respond."
"2KC03-INTRO.mp3","Let's check your understanding. Select the best answer."
"2KC04-INTRO.mp3","Let's check your understanding. Select the best answer."
"1S12-INTRO.mp3","Digital is not a side channel anymore — it is part of every Porsha customer relationship. You now have the tools to make video updates that lift approval of recommended work. You can text professionally without crossing lines. You can write emails customers will actually read. And you know which channel fits which message. In the next module, you will keep building on that foundation. When you're ready, click the next button to start the Quiz. You will need to score 80% or more to pass."
